Name,Municipality,County,State,Jurisdiction,LSAD_TRANS_C_50,White,Black or African American,Asian,Hispanic or Latino,Pct Rental Vacancy Rate,Renter Occupied Housing Units,Language: Other than English,Population 16+ yrs,In Labor Force,Pct White,Pct Black,Pct Asian,Pct Hispanic,Pct Language Other Than English,Pct in Labor Force,Haz. Waste Generating Businesses,HWT Bus. per 1000 pop.,Total Housing Units,pct. one-unit detached,pct. one-unit attached,pct. two units,pct. three or four units,pct. five to nine units,pct. ten to nineteen units,pct. twenty or more units,pct. Mobile Homes,pct. Boat_ RV_ Van etc,Pct. Built 1999-2000,Pct. Built 1995-1998,Pct. Built 1990-1994,Pct. Built 1980-1989,Pct. Built 1970-1979,Pct. Built 1960-1969,Pct. Built 1940-1959,Pct. Built 1939 or earlier,pct. one room,pct. two room,pct. three room,pct. four room,pct. five room,pvt. six room,pct. seven room,pct. eight room,pct. nine or more rooms,median no. of rooms,Pct. Occupied housing units,Pct. Year moved into: 1999-2000,Pct. Year moved into: 1995-1998,Pct. Year moved into: 1990-1994,Pct. Year moved into: 1980-1989,Pct. Year moved into: 1970-1979,Pct. Year moved into: 1969 or before,Pct. Vehicles available: none,Pct. Vehicles available :1,Pct. Vehicles available: 2,Pct. Vehicles available: 3 or more,Pct. Heating: Utility Gas,Pct. Heating: Propane,Pct. Heating: Electricity,Pct. Heating Fuel Oil_ Kerosene,Pct. Heating: Coal or Coke,Pct. Heating: Wood,Pct. Heating: Solar,Pct. Heating: Other Fuel,Pct. Heating: No Fuel Used,Pct. Incomplete Plumbing,Pct. Incomplete kitchen,Pct. No Telephone,Pct. Occupied Housing Units,Pct. one or fewer persons per room,Pct. one to 1.5 persons per room,Pct. more than 1.5 persons per room,Pct. Owner Occupied Units,Pct. Less than $50_000,Pct. $50_000 to 99_999,Pct. $100_000 to $149_999,Pct. $150_000 to $199_999,Pct. $200_000 to $299_999,Pct. $300_000 to 499_999,Pct. $500_000 to 999_999,Pct. $1 million or more,Median Owner Occupied Unit Price,Pct. Units with a Mortgage,Pct. Mortgage Pmt. Less than $300,Pct. Mortgage Pmt $300 to $499,Pct. Mortgage Pmt $500 to $699,Pct. Mortgage Pmt $700 to $999,Pct. Mortgage Pmt $1000 to $1499,Pct. Mortgage Pmt $1500-$1999,Pct. Mortgage Pmt $2000 or more,Median Mortgage Pmt,Pct. Not Mortgaged,Median Non-Mortgaged Monthly Owner Cost,Pct. Owner costs: Pct household income: 15 pct or less,Pct. Owner costs: Pct household income: 15-19.9 pct,Pct. Owner costs: Pct household income: 20-24.9 pct,Pct. Owner costs: Pct household income: 25-29.9 pct,Pct. Owner costs: Pct household income: 30-34.9 pct,Pct. Owner costs: Pct household income: 35 pct or more,Pct. Owner costs: Pct household income: not computed,Pct. Renter-occupied Units,Pct. Rent: less than $200,Pct. Rent: $200-299,Pct. Rent: $300-499,Pct. Rent: $500-749,Pct. Rent: 750-999,Pct. Rent: $1000-1499,Pct. Rent: $1500 or more,Pct. Rent: No Cash Rent,Median Rent,Pct. Rent: Pct Household Income: less than 15 pct,Pct. Rent: Pct Household Income: 15-19.9 pct,Pct. Rent: Pct Household Income: 20-24.9 pct,Pct. Rent: Pct Household Income: 25-29.9 pct,Pct. Rent: Pct Household Income: 30-34.9 pct,Pct. Rent: Pct Household Income: 35 pct or more,Pct. Rent: Pct Household Income: not computed,Pct. Commuting: drive alone,Pct. Commuting: carpool,Pct. Commuting: public transportation,Pct. Commuting: walk,Pct. Commuting: other means,Pct. Worked at Home,Mean Travel Time to Work in Minutes,Pct. Employed Civilians 16+ yrs,latitude,longitude,Area (Sq. Mi.),Population Density,Total Population,Pct Male,Pct Female,Pct Under 5 yrs,Pct 5 - 9 yrs,Pct 10-4 yrs,Pct 15-19 yrs,Pct 20-24 yrs,Pct 25-34 yrs,Pct 35-44 yrs,Pct 45-54 yrs,Pct 55-59 yrs,Pct 60-64 yrs,Pct 65-74 yrs,Pct 75-84 yrs,Pct 85 yrs & over,Median Age,Pct 18 years & over,Pct Male 18+,Pct Female 18+,Pct 21+,Pct 62+,Pct 65+,Pct Male 65+,Pct Female 65+,Pct One Race,Pct White,Pct Black or African American,Pct American Indian,Pct Asian,Pct Asian Indian,Pct Chinese,Pct Filipino,Pct Japanese,Pct Korean,Pct Vietnamese,Pct Other Asian,Pct Native Hawaiian or Pacific Islander,Pct Native Hawaiian,pct Guamian or Chamorro,Pct Samoan,Pct Other Pacific Islander,Pct Some Other Race,Pct Two or More Races,Pct White/Multiracial,Pct Black/Multiracial,Pct American Indian/Multiracial,Pct Asian/Multiracial,Native Hawaiian/Pacific Islander/Multiracial,Pct Some Other Race/Multiracial
Amesbury,Amesbury,Essex,MA,Amesbury town_ Essex County_ Massachusetts,town,15988,105,95,156,3.8,2182,630,12570,8893,97.19,0.64,0.58,0.95,3.83,54.06,24,0.55,6607,49.58,7.28,12.21,10.05,3.1,5.81,11.65,0.3,0,1.48,4.46,6.18,10.85,17.15,8.08,11.46,40.34,1.12,4.31,8.78,17.72,16.15,17.19,14,11.58,9.14,5.6,96.29,17.16,32.97,14.03,14.65,8.32,9.16,6.92,34.65,43.17,11.56,45.41,0.77,15.73,32.74,0,1.42,0,0.23,0,0.2,0.21,0.51,96.29,95.11,1.06,0.12,49.21,0.18,1.77,11.11,16.62,15.01,4.19,0.2,0.12,183400,38.61,0,0,1.06,4.12,15.98,12.37,5.09,1443,10.59,445,12.17,8.82,8.25,6.92,4.24,8.46,0.35,32.97,2.01,1.73,2.92,15.54,7.55,2.03,0.24,0.94,680,6.77,4.95,4.77,2.65,2.1,10.11,1.62,42.1,5.06,0.94,0.8,0.43,1.86,27.9,52.1,42.86,-70.93,0,1326.3,16450,48.22,51.78,6.69,7.48,7.91,6.04,4.11,14.47,19.31,14.26,4.3,3.46,6.23,3.95,1.79,36.7,73.9,34.95,38.95,71.22,13.98,11.97,4.66,7.31,98.9,97.19,0.64,0.22,0.58,0.06,0.24,0.06,0.05,0.05,0.05,0.06,0.02,0.01,0,0.01,0,0.24,1.1,98.22,0.95,0.8,0.76,0.03,0.44
Salisbury,Salisbury,Essex,MA,Salisbury town_ Essex County_ Massachusetts,town,7635,32,27,92,24.2,969,2762,6151,4217,97.55,0.41,0.34,1.18,35.29,53.88,11,1.82,4156,56.45,3.34,14.32,9.24,5.27,2.72,1.49,7.17,0,0.79,4.96,4.81,16.41,14.92,11.74,23.1,23.27,1.2,3.2,8.97,21.22,26.49,16.24,10.06,6.11,6.5,5.1,74.16,12.63,22.47,11.09,15.81,6.04,6.11,5.08,23.97,31.86,13.26,36.31,1.59,9.62,24.9,0.55,0.96,0,0,0.22,0.38,0.22,0.91,74.16,71.34,2.33,0.48,36.84,0,2.89,8.33,14.05,9.74,1.28,0.55,0,175400,26.28,0,0.67,1.44,3.22,15.21,4.62,1.11,1274,10.56,373,10.56,8.52,6.09,2.82,2.29,6.57,0,23.12,1.56,0.94,2.48,7.96,6.23,3.1,0.46,0.38,704,5.1,4.72,2.33,2.65,1.78,5.65,0.89,42.05,6.35,0.64,0.57,0.19,0.66,27.1,51.92,42.84,-70.86,0,507.1,7827,49.35,50.65,6.17,6.49,7.03,5.81,4.5,12.99,19.06,15.1,6.36,4.59,6.91,3.91,1.07,38.8,76.4,37.32,39.08,73.6,14.53,11.89,5.15,6.75,98.95,97.55,0.41,0.31,0.34,0.09,0.01,0.04,0.03,0.08,0.04,0.06,0.09,0.01,0,0.04,0.04,0.26,1.05,98.54,0.69,0.82,0.59,0.11,0.32
Merrimac,Merrimac,Essex,MA,Merrimac town_ Essex County_ Massachusetts,town,6032,24,17,55,3.3,383,1875,4513,3436,98.27,0.39,0.28,0.9,30.55,55.98,6,0.81,2295,64.71,5.62,12.03,2.22,2.83,2.57,1.31,8.71,0,1.31,10.63,8.8,13.86,11.5,7.97,10.94,34.99,0.35,2.61,2.53,16.91,16.51,20.57,16.21,12.46,11.85,6,97.3,8.02,27.97,19.78,16.78,14.34,10.41,4.75,28.93,44.88,18.74,52.59,4.4,5.45,31.76,0,2.75,0,0.35,0,0,0,0.26,97.3,97.3,0,0,63.49,0,1.44,11.24,13.99,22.79,13.46,0.57,0,224700,52.37,0,2.75,0.31,7.67,16.64,17.08,7.93,1471,11.11,386,21.92,10.07,11.85,5.93,2,11.72,0,15.9,1.61,1.09,1.87,5.53,3.62,1.39,0,0.78,678,3.09,1.79,2.53,3.31,0.7,3.7,0.78,46.84,4.27,0.68,0.62,0.41,1.5,28.2,54.63,42.83,-71,0,719.6,6138,48.68,51.32,7.28,8.57,8.54,6.52,3.06,11.29,20.12,15.23,4.9,3.49,6.35,3.54,1.11,37.4,71.02,33.74,37.28,68.46,12.98,11,4.79,6.21,99.35,98.27,0.39,0.11,0.28,0.03,0.02,0,0.08,0.05,0,0.1,0,0,0,0,0,0.29,0.65,98.89,0.57,0.29,0.42,0,0.47
Newburyport,Newburyport,City,MA,Newburyport city_ Massachusetts,city,16864,73,105,151,3.9,2509,661,14061,9619,98.11,0.42,0.61,0.88,3.85,55.96,34,6.18,7913,51.8,9.76,9.07,10.64,8.57,2.68,7.35,0.13,0,0.33,4.11,3.98,7.46,8.71,9.16,14.68,51.57,1.79,3.44,11.97,14.6,15.89,18.75,13.94,10.82,8.81,5.6,95.25,14.39,30.43,14.86,14.95,7.94,12.68,7.01,37.66,41.06,9.52,53.54,2.01,8.71,30.18,0.19,0.51,0,0.11,0,0.66,0.68,0.78,95.25,94.41,0.56,0.28,51.41,0,0.91,3.72,9.62,22.22,12.59,2.25,0.11,253600,37.58,0,0.11,1.07,3.63,12.27,11.18,9.31,1538,13.83,456,17.57,7.86,7.47,5.18,4.02,9.31,0,31.67,2.43,1.93,2.97,7.22,10.79,4.35,0.85,1.14,764,7.2,4.4,4.85,4.73,2.45,6.67,1.36,42.87,3.55,1.5,1.59,0.53,3.4,29.9,54.33,42.81,-70.88,0,20.7,10460,58.79,41.21,7.3,8.41,7.66,5.45,2.92,12.9,24.02,17.71,5.2,2.92,3.42,1.64,0.45,37.4,72.76,44.48,28.28,70.54,7.03,5.52,2.73,2.78,98.8,88.97,4.9,0.31,1.18,0.27,0.27,0.06,0.03,0.11,0.15,0.29,0.02,0,0.02,0,0,3.43,1.2,89.77,5.44,0.65,1.51,0.12,3.78
Haverhill,Haverhill,City,MA,Haverhill city_ Massachusetts,city,52878,1419,801,5174,3.1,9153,2297,45386,30864,89.67,2.41,1.36,8.77,3.9,52.34,43,5.1,23737,42.58,9.91,15.45,11.48,6.98,4.71,8.73,0.15,0,1.13,5.74,5.65,15.87,9.73,6.37,13.87,41.64,1.34,4.13,9.51,17,21.38,18.49,13.11,7.96,7.07,5.3,96.79,17.02,33.56,13.35,14.98,7.08,10.81,11.01,36.28,38.21,11.29,65.51,1.42,6.41,22.34,0.07,0.48,0,0.39,0.19,0.38,0.53,1.1,96.79,94.54,1.66,0.6,45.94,0.2,3.34,16.52,14.47,9.5,1.72,0.16,0.03,159200,35.72,0.04,0.16,1.13,7.39,17.03,7.81,2.17,1241,10.22,392,13.3,9.17,8.09,5.18,2.56,7.39,0.26,38.34,1.94,1.97,5.81,15.09,10.28,1.81,0.4,1.05,658,6.85,5.25,5.38,4.75,2.65,11.38,2.09,40.48,5.37,1.15,1.01,0.22,1.36,26.7,50.32,42.78,-71.08,0.01,1769.4,58969,47.46,52.54,7.36,7.42,7.17,5.99,5.45,15.66,17.8,12.81,4.25,3.31,5.87,4.91,2.02,36,74.31,34.29,40.02,83.73,14.69,12.8,4.79,8.01,97.99,89.67,2.41,0.22,1.36,,,,,,,,0.03,,,,,4.3,2.01,,,,,,
West Newbury,West Newbury,Essex,MA,West Newbury town_ Essex County_ Massachusetts,town,4086,8,22,27,5.8,97,25,3025,2240,98.48,0.19,0.53,0.65,0.6,53.99,0,0,1423,92.97,3.02,1.97,0.91,0,0.7,0,0.42,0,3.94,3.16,8.64,25.09,14.97,11.81,7.52,24.88,0,0.63,3.23,1.69,11.24,14.62,21.78,24.81,22,7.4,97.82,6.89,21.71,17.57,28.18,10.19,13.28,2.25,18.76,50.39,26.42,2.46,3.37,3.51,85.87,0,2.6,0,0,0,0.56,0,0,97.82,97.54,0.28,0,81.66,0,0,2.04,6.32,32.26,32.68,7.8,0.56,301000,59.8,0,0.49,1.26,2.46,15.46,20.24,19.89,1626,21.86,516,27.06,17.36,9.07,8.01,6.75,12.86,0.56,6.89,0.35,0,0.35,1.83,1.83,0.91,0.56,1.05,826,1.12,1.05,0.7,1.62,0,1.34,1.05,44.52,4.29,0.17,0.53,0,2.48,31.1,53.05,42.8,-70.99,0,185.8,4149,49.87,50.13,7.52,8.39,9.13,6.63,2.65,7.18,19.81,20.37,5.83,3.69,5.13,2.68,0.99,39.6,69.97,33.89,36.08,67.68,10.8,8.8,3.88,4.92,99.59,98.48,0.19,0.02,0.53,0,0.22,0.05,0.17,0.07,0,0.02,0,0,0,0,0,0.36,0.41,98.89,0.31,0.05,0.67,0,0.51
Newbury,Newbury,Essex,MA,Newbury town_ Essex County_ Massachusetts,town,6604,25,30,61,3,489,1025,5079,3604,98.32,0.37,0.45,0.91,15.26,53.65,1,1.48,2816,86.79,1.63,3.94,3.8,1.95,0.39,0.67,0,0.82,1.1,5.04,6.21,16.9,11.97,11.47,24.54,22.76,0.39,2.2,4.83,11.72,15.77,21.7,16.09,13.78,13.53,6.2,89.28,14.13,18.25,18.18,18.96,10.05,9.69,1.95,22.48,47.69,17.15,11.26,9.2,6.61,57.78,0.36,3.8,0,0.28,0,0,0,0.39,89.28,88.1,1.17,0,65.34,0,0.28,4.26,12,25.07,17.44,6.29,0,269300,49.54,0,1.42,1.74,6.61,15.48,12.71,11.58,1485,15.8,479,22.41,11.33,11.33,6.43,4.23,9.62,0,17.37,0.78,1.14,3.69,3.16,4.33,2.17,0,2.1,697,3.98,0.71,0,2.73,0.39,6.71,2.84,43.81,1.79,1.19,1.53,0.22,3.2,28.6,52.81,42.79,-70.85,0.01,31.7,6717,48.44,51.56,6.7,7.37,8.66,6.13,2.5,9.99,20.05,18.49,5.81,3.56,6.12,3.51,1.1,39.5,72.9,34.88,38.02,70.63,12.55,10.73,4.48,6.25,99.57,98.32,0.37,0.13,0.45,0,0.13,0,0.13,0.16,0.01,0,0.01,0.01,0,0,0,0.28,0.43,98.75,0.4,0.4,0.51,0.01,0.37
Methuen,Methuen,City,MA,Methuen city_ Massachusetts,city,39126,591,1040,4221,2.8,4651,6844,33991,21748,89.35,1.35,2.38,9.64,15.63,49.67,13,0.48,16885,61.04,4.76,12.96,7.37,3.6,3.75,6.47,0.04,0,1.96,3.36,4.03,14.42,12.86,14.49,21.81,27.07,0.95,2.56,7.07,14.29,19.03,23.76,15.49,9.69,7.15,5.8,97.91,13.28,26.69,14.66,16.42,10.62,16.23,8.04,34.8,40.33,14.73,60.55,2.43,7.17,27.07,0,0.4,0,0.29,0,0.59,0.52,0.76,97.91,95.55,1.74,0.62,59.68,0.6,4.02,20.85,19.77,11.6,2.72,0.13,0,159000,42.13,0,0.68,1.87,7.2,20.07,9.11,3.2,1275,17.55,383,16.87,12.02,9.97,6.11,4.31,9.69,0.72,27.43,1.59,1.6,3.04,11.97,6.56,1.13,0.04,1.49,645,5.08,4.18,3.49,3.47,1.91,7.01,2.3,39.7,4.43,0.73,0.66,0.4,0.83,25.4,47.52,42.73,-71.19,0.01,1954.7,43789,47.88,52.12,6.28,7.16,7.29,6.21,5.1,13.62,17.41,13.49,4.7,3.4,7.05,6.23,2.06,38,75.27,35.02,40.24,83.92,17.34,15.34,5.8,9.55,98.18,89.35,1.35,0.22,2.38,,,,,,,,0.01,,,,,4.87,1.82,,,,,,
Groveland,Groveland,Essex,MA,Groveland town_ Essex County_ Massachusetts,town,5941,21,36,28,2.4,283,3535,4455,3217,98.39,0.35,0.6,0.46,58.55,53.28,9,96.77,2096,86.5,1.05,7.11,3.44,1.53,0.38,0,0,0,2,7.25,7.59,11.4,3.72,21.42,14.31,32.3,0,2.29,2.77,3.58,11.07,27.48,21.95,17.99,12.88,6.6,98.19,9.06,24.19,21.23,20.99,8.11,14.6,2.62,21.42,53.44,20.71,52.1,1.77,3.96,38.65,0,0.86,0,0.86,0,0,0,0,98.19,97.66,0.52,0,80.44,1.24,0.72,7.82,22.57,32.16,14.36,1.57,0,223200,62.12,0,0.76,0.43,7.59,26.24,16.84,10.26,1417,18.32,420,19.75,15.17,13.55,13.69,6.2,11.35,0.72,13.45,0.38,2.1,1.86,4.25,3.77,0.38,0,0.72,566,2.29,2.86,0.76,1.57,1.62,3.63,0.72,44.88,4.27,0.78,0.45,0,1.03,28.5,52.62,42.76,-71.03,0,675.2,6038,49.55,50.45,7.37,8.41,8.78,7.12,2.95,10.42,20.62,15.49,4.94,3.66,5.88,3.58,0.79,37.6,70.4,33.87,36.54,67.74,12.44,10.25,4.59,5.66,99.55,98.39,0.35,0.13,0.6,0.13,0.17,0.03,0.02,0.22,0,0.03,0,0,0,0,0,0.08,0.45,98.79,0.46,0.22,0.7,0,0.31
Georgetown,Georgetown,Essex,MA,Georgetown town_ Essex County_ Massachusetts,town,7268,11,31,47,3.8,351,31,5458,3934,98.52,0.15,0.42,0.64,0.42,53.33,11,31.34,2616,88.26,1.38,4.05,4.09,1.53,0.69,0,0,0,2.45,6.8,8.33,13.23,12.39,14.18,18.46,24.16,0.23,2.98,4.32,2.79,13.26,22.86,19.92,18.46,15.18,6.7,98.09,10.97,22.59,20.3,17.35,15.48,11.39,2.94,20.68,50.88,23.59,41.44,2.33,6.08,46.94,0,1.3,0,0,0,0.38,0,0.31,98.09,97.32,0.54,0.23,79.47,0,0.61,4.97,17.81,33.1,20.57,2.41,0,251200,65.98,0,0.34,1.64,8.1,21.06,19.3,15.52,1524,13.49,431,23.97,16.17,10.7,10.32,6,12.31,0,13.38,0.31,3.1,2.41,2.75,3.17,0.34,0,1.3,515,2.03,1.99,1.57,1.8,1.15,3.56,1.3,44.6,2.85,1.22,0.27,0.15,2.2,30.4,52.34,42.72,-70.99,0,570.2,7377,49.65,50.35,8.49,8.59,7.79,5.48,3.29,11.29,20.56,16.61,5.37,3.16,5.12,3.29,0.95,37.4,71.36,34.62,36.74,69.03,11.17,9.37,3.97,5.4,99.54,98.52,0.15,0.14,0.42,0.15,0.07,0.03,0.05,0.05,0,0.07,0,0,0,0,0,0.31,0.46,98.97,0.23,0.19,0.57,0.01,0.52
